cnote,dispatch_time,dispatch_date,client_name,weight,origin_cluster,to_pincode,trip_id,bp_id,serviceability,ODA,trip_category
1003039207,4/30/2019 8:07,4/30/2019,Ashok Leyland Ltd,1,DELT1,335002,828125,BP1226,ODA_6_5,6,DNP
1003369319,4/30/2019 8:07,4/30/2019,L&T Electrical  & Automation,20,NAGT1,335001,828125,BP1226,ODA_6_5,6,DNP
1003372669,4/30/2019 8:07,4/30/2019,ITC LTD-KOLKATA,25,DELT1,335001,828125,BP1226,ODA_6_5,6,DNP
1003169081,4/30/2019 8:07,4/30/2019,COMAC INDIA PVT LTD,150,DELT1,335001,828125,BP1226,ODA_6_5,6,DNP
1002800332,4/30/2019 8:07,4/30/2019,RETAIL,45,DELT1,335001,828125,BP1226,ODA_6_5,6,DNP
1003039344,4/30/2019 8:07,4/30/2019,Ashok Leyland Ltd,1,DELT1,335002,828125,BP1226,ODA_6_5,6,DNP
1003043305,4/30/2019 8:07,4/30/2019,Escorts Limited,1,DELT1,335705,828125,BP1226,ODA_5_5,5,DNP
1003155016,4/30/2019 8:21,4/30/2019,IP Integrated Services Pvt. Ltd.,100,BOMT1,415612,828461,BP1587,ODA_3_7,3,DNP
8000753226,4/30/2019 11:13,4/30/2019,SAP SWISS SOLUTIONS PVT LTD,950,DELT1,711312,828596,BP1030,ODA_1_1,1,NP
1002976488,4/30/2019 11:13,4/30/2019,Shrinath Mankhal,2308,HYDT1,711303,828596,BP1030,ODA_1_1,1,NP
8000600992,4/30/2019 8:57,4/30/2019,M Junction,20,CCUT1,847402,828618,BP1475,ODA_2_2,2,NP
1003064063,4/30/2019 10:22,4/30/2019,Flipkart India Private Ltd. (ZOOM),55,BLRT1,124108,828707,BP1400,ODA_2_2,2,NP
6000030580,5/2/2019 12:51,5/2/2019,Hilti India Private Ltd,38.6,HYDT1,518124,828843,BP1273,ODA_3_5,3,DNP
1003168687,4/30/2019 10:01,4/30/2019,Xseed Education,42,DELT1,507128,828844,BP1262,ODA_6_5,6,DNP
1003306332,4/30/2019 10:01,4/30/2019,New JMN Roadlink,20,AMDT1,507111,828844,BP1262,ODA_6_5,6,DNP
1003161768,4/30/2019 10:01,4/30/2019,Go Fashion India (P) Ltd,34,CJBT1,506167,828844,BP1262,ODA_2_2,2,DNP
1003370285,4/30/2019 10:01,4/30/2019,Schwing Stetter India Private Limtied,150,HYDT1,507115,828844,BP1262,ODA_5_5,5,DNP
1003330146,4/30/2019 10:01,4/30/2019,Emerson Process Automation,35,MAAT2,507115,828844,BP1262,ODA_5_5,5,DNP
2000850664,4/30/2019 10:01,4/30/2019,Reliance Retail Limited (Projects),60,BOMT1,507115,828844,BP1262,ODA_5_5,5,DNP
1003136188,4/30/2019 10:01,4/30/2019,Schwing Stetter India Private Limtied,50,MAAT1,507115,828844,BP1262,ODA_5_5,5,DNP
1003143855,4/30/2019 10:01,4/30/2019,Go Fashion India (P) Ltd,9,CJBT1,506167,828844,BP1262,ODA_2_2,2,DNP
1000209800,4/30/2019 18:07,4/30/2019,Communications Test Design -Bangalore,100,BLRT1,518010,828846,BP1273,ODA_1_1,1,NP
8000658300,5/1/2019 8:24,5/1/2019,QUIXOT MULTIMEDIA PVT LTD,20,DELT1,503001,829166,BP1605,ODA_1_2,1,NP
1003168308,5/1/2019 8:24,5/1/2019,Sri Sai Enterprises,41,DELT1,503001,829166,BP1605,ODA_1_2,1,NP
1003183383,4/30/2019 12:20,4/30/2019,White Field Impex,11,BOMT1,271201,829281,BP1614,ODA_4_7,4,DNP
1000788074,4/30/2019 12:20,4/30/2019,ITC LTD-KOLKATA,25,DELT1,271865,829281,BP1614,ODA_5_7,5,DNP
1003372988,4/30/2019 12:20,4/30/2019,ITC LTD-KOLKATA,14,DELT1,271801,829281,BP1614,ODA_4_7,4,DNP
1003300331,4/30/2019 12:20,4/30/2019,Xseed Education,19,BLRT1,271801,829281,BP1614,ODA_4_7,4,DNP
1003300340,4/30/2019 12:20,4/30/2019,Xseed Education,3,BLRT1,271801,829281,BP1614,ODA_4_7,4,DNP
2000218566,4/30/2019 12:20,4/30/2019,RETAIL,25,AMBT1,271801,829281,BP1614,ODA_4_7,4,DNP
2000843501,4/30/2019 12:20,4/30/2019,RETAIL,14.26,CCUT1,271602,829281,BP1614,ODA_3_7,3,DNP
1003372878,4/30/2019 12:20,4/30/2019,ITC LTD-KOLKATA,9,DELT1,271865,829281,BP1614,ODA_5_7,5,DNP
1003372883,4/30/2019 12:20,4/30/2019,ITC LTD-KOLKATA,6,DELT1,271801,829281,BP1614,ODA_4_7,4,DNP
1003154072,4/30/2019 12:20,4/30/2019,LIVGUARD BATTERIES PRIVATE LIMITED,13,DELT1,271801,829281,BP1614,ODA_4_7,4,DNP
8000285378,4/30/2019 12:20,4/30/2019,TCNS CLOTHING COMPANY  LIMITED,9,DELT1,271801,829281,BP1614,ODA_4_7,4,DNP
1003372686,4/30/2019 12:20,4/30/2019,ITC LTD-KOLKATA,8,DELT1,271201,829281,BP1614,ODA_4_7,4,DNP
1003372692,4/30/2019 12:20,4/30/2019,ITC LTD-KOLKATA,3,DELT1,271201,829281,BP1614,ODA_4_7,4,DNP
8000600983,4/30/2019 11:40,4/30/2019,M Junction,20,CCUT1,804408,829316,BP1501,ODA_2_2,2,NP
1002236228,4/30/2019 11:40,4/30/2019,RETAIL,48,PNQT1,804408,829316,BP1501,ODA_2_2,2,NP
2000848446,4/30/2019 11:40,4/30/2019,J.K.FILES (INDIA) LIMITED,10,BOMT1,804453,829316,BP1501,ODA_1_1,1,NP
8000681430,4/30/2019 11:40,4/30/2019,M Junction,20,CCUT1,804408,829316,BP1501,ODA_2_2,2,NP
1002843388,4/30/2019 13:58,4/30/2019,"Rane TRW Steering Systems Pvt. Ltd,",1890,NOIT1,621316,829330,BP1661,ODA_1_1,1,NP
8000743626,4/30/2019 13:58,4/30/2019,RETAIL,225,AMDT1,621316,829330,BP1661,ODA_1_1,1,NP
1003314621,4/30/2019 13:58,4/30/2019,HITECH INTERNATIONAL,22,MAAT2,621316,829330,BP1661,ODA_1_1,1,NP
2000112589,4/30/2019 14:46,4/30/2019,RETAIL,50,CJBT1,682311,829562,BP1269,ODA_1_1,1,NP
2000822185,4/30/2019 15:10,4/30/2019,RETAIL,135,CCUT1,828303,829763,BP1266,ODA_1_1,1,NP
1003045620,4/30/2019 16:09,4/30/2019,LIPSA IMPEX ,24,NAGT1,343001,829898,BP1600,ODA_4_5,4,DNP
1003039212,4/30/2019 16:09,4/30/2019,Ashok Leyland Ltd,41,DELT1,344502,829898,BP1600,ODA_5_5,5,DNP
1003039293,4/30/2019 16:09,4/30/2019,Ashok Leyland Ltd,100,DELT1,344502,829898,BP1600,ODA_5_5,5,DNP
1003039346,4/30/2019 16:09,4/30/2019,Ashok Leyland Ltd,43,DELT1,344502,829898,BP1600,ODA_5_5,5,DNP
1003372752,4/30/2019 16:09,4/30/2019,ITC LTD-KOLKATA,38,DELT1,344001,829898,BP1600,ODA_6_5,6,DNP
1003179735,5/2/2019 9:05,5/2/2019,Flipkart India Private Ltd. (ZOOM),155.8,CCUT1,781015,829946,BP1091,ODA_1_1,1,NP
1003179731,5/2/2019 9:05,5/2/2019,Flipkart India Private Ltd. (ZOOM),478,CCUT1,781015,829946,BP1091,ODA_1_1,1,NP
1003179732,5/2/2019 9:05,5/2/2019,Flipkart India Private Ltd. (ZOOM),352,CCUT1,781015,829946,BP1091,ODA_1_1,1,NP
1003179729,5/2/2019 9:05,5/2/2019,Flipkart India Private Ltd. (ZOOM),208,CCUT1,781015,829946,BP1091,ODA_1_1,1,NP
1003179727,5/2/2019 9:05,5/2/2019,Flipkart India Private Ltd. (ZOOM),79,CCUT1,781015,829946,BP1091,ODA_1_1,1,NP
1003179728,5/2/2019 9:05,5/2/2019,Flipkart India Private Ltd. (ZOOM),59,CCUT1,781015,829946,BP1091,ODA_1_1,1,NP
1003179748,5/2/2019 9:05,5/2/2019,Flipkart India Private Ltd. (ZOOM),482,CCUT1,781015,829946,BP1091,ODA_1_1,1,NP
1003179747,5/2/2019 9:05,5/2/2019,Flipkart India Private Ltd. (ZOOM),192,CCUT1,781015,829946,BP1091,ODA_1_1,1,NP
1003179742,5/2/2019 9:05,5/2/2019,Flipkart India Private Ltd. (ZOOM),138,CCUT1,781015,829946,BP1091,ODA_1_1,1,NP
1003179741,5/2/2019 9:05,5/2/2019,Flipkart India Private Ltd. (ZOOM),240,CCUT1,781015,829946,BP1091,ODA_1_1,1,NP
1002861130,4/30/2019 17:45,4/30/2019,White Field Impex,10,BOMT1,788818,830056,BP1267,ODA_6_5,6,DNP
8000774007,4/30/2019 23:40,4/30/2019,RETAIL,62,JAIT1,734429,830149,BP1532,ODA_1_1,1,NP
8000774008,4/30/2019 23:40,4/30/2019,RETAIL,114,JAIT1,734429,830149,BP1532,ODA_1_1,1,NP
8000774010,4/30/2019 23:40,4/30/2019,RETAIL,223,JAIT1,734429,830149,BP1532,ODA_1_1,1,NP
2000535651,4/30/2019 23:40,4/30/2019,RETAIL,165,DELT1,733202,830150,BP1532,ODA_1_1,1,NP
2000848527,4/30/2019 23:40,4/30/2019,J.K.FILES (INDIA) LIMITED,60,BOMT1,733202,830150,BP1532,ODA_1_1,1,NP
1003165702,5/1/2019 8:28,5/1/2019,ORIENT Electric Limited Switch Gears,60,NOIT1,391240,830186,BP1668,ODA_2_2,2,NP
1003015445,5/1/2019 8:28,5/1/2019,SEW Eurodrive India Pvt. Ltd.,310,MAAT1,391243,830186,BP1668,ODA_1_1,1,NP
1002936404,5/1/2019 8:28,5/1/2019,ORIENT Electric Limited Switch Gears,11,IXWT1,391240,830186,BP1668,ODA_2_2,2,NP
1003304853,5/1/2019 8:28,5/1/2019,K P Manish Global Ingredients Pvt. Ltd,1000,BOMT1,391243,830186,BP1668,ODA_1_1,1,NP
1003100000,5/1/2019 10:52,5/1/2019,Shriram Telelink,1850,NOIT1,522006,830223,BP1100,ODA_2_2,2,NP
1003061812,5/1/2019 7:46,5/1/2019,ALOK INDUSTRIES,500,DELT1,453551,830227,BP1561,ODA_1_1,1,NP
2000859183,5/1/2019 9:23,5/1/2019,RETAIL,14,AMDT1,134102,830229,BP1406,ODA_1_1,1,NP
1002939944,5/1/2019 8:34,5/1/2019,SHANTI INTERNATIONAL,109,DELT1,461001,830253,BP1314,ODA_3_7,3,DNP
1003372695,5/1/2019 9:01,5/1/2019,ITC LTD-KOLKATA,12,DELT1,283135,830261,BP1510,ODA_2_2,2,NP
1003187947,5/1/2019 9:01,5/1/2019,M Junction,1,DELT1,283204,830261,BP1510,ODA_1_1,1,NP
1002893633,5/1/2019 10:06,5/1/2019,Xseed Education,24,BLRT1,389151,830280,BP1203,ODA_5_7,5,DNP
1002893695,5/1/2019 10:06,5/1/2019,Xseed Education,55,BLRT1,389230,830280,BP1203,ODA_5_7,5,DNP
1003309504,5/1/2019 10:06,5/1/2019,MIRC ELECTRONICS LTD,7,AMDT1,389001,830280,BP1203,ODA_4_7,4,DNP
8000757055,5/1/2019 10:06,5/1/2019,Sleek International Pvt. Ltd.(Zoom),20,PNQT1,389001,830280,BP1203,ODA_4_7,4,DNP
1003309523,5/1/2019 10:06,5/1/2019,Mogli Labs ( Ahmedabad ),38,AMDT1,389350,830280,BP1203,ODA_1_1,1,DNP
2000099572,5/1/2019 8:18,5/1/2019,RETAIL,69,AMDT1,713326,830288,BP1322,ODA_1_1,1,NP
1003138461,5/1/2019 8:28,5/1/2019,ORIENT Electric Limited Switch Gears,180,NOIT1,516360,830289,BP1604,ODA_2_3,2,NP
1002873527,5/1/2019 8:28,5/1/2019,Salzer Electronics Limited UNIT III,58.6,CJBT1,516360,830289,BP1604,ODA_2_3,2,NP
1002899506,5/1/2019 8:28,5/1/2019,SYMEGA FLAVOUR & COLOUR DIVISION,70,CJBT1,516362,830289,BP1604,ODA_1_2,1,NP
1003330126,5/1/2019 12:40,5/1/2019,ATANDRA ENERGY PRIVATE LIMITED,280,MAAT2,388121,830294,BP1478,ODA_1_1,1,NP
8000684776,5/1/2019 9:58,5/1/2019,MTG Learning Media,39,DELT1,389350,830295,BP1591,ODA_1_1,1,NP
1002604824,5/1/2019 9:58,5/1/2019,RETAIL,220,BLRT1,391510,830295,BP1591,ODA_1_1,1,NP
1003100109,5/1/2019 9:58,5/1/2019,ACG Pharmapack Pvt. Ltd.,42,PNQT2,389350,830295,BP1591,ODA_1_1,1,NP
1003100103,5/1/2019 9:58,5/1/2019,ACG Pharmapack Pvt. Ltd.,19,PNQT2,389350,830295,BP1591,ODA_1_1,1,NP
1001862386,5/1/2019 10:27,5/1/2019,Greengold Liscencing and Merchandising,11.9,HYDT1,182101,830296,BP1198,ODA_3_5,3,DNP
1003039223,5/1/2019 10:27,5/1/2019,Ashok Leyland Ltd,13,DELT1,182101,830296,BP1198,ODA_3_5,3,DNP
1003320898,5/1/2019 10:27,5/1/2019,Portronics Digital Pvt. Ltd.,33,DELT1,182101,830296,BP1198,ODA_3_5,3,DNP
2000834887,5/1/2019 10:27,5/1/2019,RETAIL,3,DELT1,182101,830296,BP1198,ODA_3_5,3,DNP
1003303261,5/1/2019 9:24,5/1/2019,Sun Pharma Laboratories Ltd.,56,BOMT1,713102,830304,BP1285,ODA_1_1,1,NP
8000720280,5/1/2019 9:24,5/1/2019,RETAIL,25,AMDT1,713102,830304,BP1285,ODA_1_1,1,NP
1003043414,5/1/2019 8:39,5/1/2019,JCB India Limited,26,DELT1,394510,830309,BP1299,ODA_1_1,1,NP
2000739711,5/1/2019 9:01,5/1/2019,RETAIL,90,DELT1,462030,830317,BP1103,ODA_2_2,2,NP
8000745806,5/1/2019 8:43,5/1/2019,Makita Power Tools India Pvt Ltd,30,BLRT1,277001,830332,BP1384,ODA_3_5,3,DNP
1002704996,5/1/2019 8:43,5/1/2019,TELEECARE NETWORK INDIA PVT LTD,13,DELT1,277001,830332,BP1384,ODA_3_5,3,DNP
1003138700,5/1/2019 8:43,5/1/2019,Safari digital education initiatives pvt. ltd.,450,NOIT1,277001,830332,BP1384,ODA_3_5,3,DNP
1003060751,5/1/2019 8:43,5/1/2019,Sun Pharmaceutical Industries Ltd.,38,BOMT1,277001,830332,BP1384,ODA_3_5,3,DNP
1002650067,5/1/2019 8:43,5/1/2019,Kinetic Green Energy & Power Solution ltd,7.66,PNQT2,277001,830332,BP1384,ODA_3_5,3,DNP
8000575400,5/1/2019 9:37,5/1/2019,WLA CONSULTANTS & LOGISTICS Pvt Ltd.,20,DELT1,312001,830341,BP1599,ODA_4_5,4,DNP
2000774016,5/1/2019 9:37,5/1/2019,Amar Valves Products,34,AMBT1,312001,830341,BP1599,ODA_4_5,4,DNP
1002637967,5/1/2019 9:37,5/1/2019,Greengold Liscencing and Merchandising,4.4,HYDT1,312001,830341,BP1599,ODA_4_5,4,DNP
1003299369,5/1/2019 9:37,5/1/2019,Schwing Stetter India Private Limtied,20,MAAT1,312620,830341,BP1599,ODA_4_5,4,DNP
2000845098,5/1/2019 9:37,5/1/2019,RETAIL,115,JAIT1,312001,830341,BP1599,ODA_4_5,4,DNP
8000799828,5/1/2019 9:14,5/1/2019,RETAIL,40,LKOT1,245101,830342,BP1264,ODA_1_1,1,NP
6000348951,5/1/2019 13:08,5/1/2019,Hilti India Private Ltd,24,BOMT1,140417,830361,BP1015,ODA_1_1,1,NP
8000381805,5/1/2019 13:08,5/1/2019,RETAIL,45,BLRT1,140401,830361,BP1015,ODA_1_1,1,NP
8000745889,5/1/2019 13:08,5/1/2019,Makita Power Tools India Pvt Ltd,30,BLRT1,140401,830361,BP1015,ODA_1_1,1,NP
1002650066,5/1/2019 9:27,5/1/2019,Kinetic Green Energy & Power Solution ltd,3.74,PNQT2,244901,830365,BP1058,ODA_1_1,1,NP
2000839877,5/1/2019 9:27,5/1/2019,RETAIL,220,DELT1,244901,830365,BP1058,ODA_1_1,1,NP
2000289992,5/1/2019 9:15,5/1/2019,RETAIL,75,NOIT1,224135,830368,BP1395,ODA_1_1,1,NP
8000774810,5/1/2019 9:13,5/1/2019,RETAIL,20,JAIT1,462030,830376,BP1103,ODA_2_2,2,NP
8000673235,5/1/2019 9:58,5/1/2019,RETAIL,20,JAIT1,689510,830377,BP1613,ODA_1_1,1,NP
2000871241,5/1/2019 9:58,5/1/2019,RETAIL,150,NOIT1,690514,830377,BP1613,ODA_1_1,1,NP
2000637878,5/1/2019 9:58,5/1/2019,RETAIL,16,AMDT1,690533,830377,BP1613,ODA_2_3,2,NP
1002495569,5/1/2019 9:58,5/1/2019,RETAIL,56,LKOT1,690110,830377,BP1613,ODA_1_1,1,NP
1003096097,5/1/2019 9:58,5/1/2019,Jet Inks Private Limited,6,MAAT2,690572,830377,BP1613,ODA_2_3,2,NP
2000859211,5/1/2019 10:01,5/1/2019,RETAIL,90,AMDT1,689101,830381,BP1613,ODA_1_1,1,NP
1003060313,5/1/2019 10:01,5/1/2019,Sun Pharmaceutical Industries Ltd.,17,BOMT1,689105,830381,BP1613,ODA_1_1,1,NP
1003153396,5/1/2019 10:01,5/1/2019,Next Education - Books,185,DELT1,689624,830381,BP1613,ODA_1_1,1,NP
8000673516,5/1/2019 10:01,5/1/2019,RETAIL,100,JAIT1,689101,830381,BP1613,ODA_1_1,1,NP
2000245162,5/1/2019 10:01,5/1/2019,RETAIL,90,BLRT1,689621,830381,BP1613,ODA_1_1,1,NP
2000797719,5/1/2019 10:01,5/1/2019,Sun Pharmaceutical Industries Ltd.,3,BOMT1,689105,830381,BP1613,ODA_1_1,1,NP
1002976447,5/1/2019 9:41,5/1/2019,Blend Colours Pvt. Ltd.Special,500,HYDT1,580011,830382,BP1208,ODA_1_1,1,NP
1003143563,5/1/2019 9:17,5/1/2019,Go Fashion India (P) Ltd,10,CJBT1,582103,830383,BP1208,ODA_2_2,2,NP
1002945187,5/1/2019 9:36,5/1/2019,Tucana Lights Pvt Ltd,260,AMDT1,383001,830384,BP1377,ODA_2_2,2,NP
1003114051,5/1/2019 9:58,5/1/2019,Gunnebo India Pvt. Ltd Heavy(Door Delivery),383,BLRT1,389350,830393,BP1591,ODA_1_1,1,NP
8000775353,5/1/2019 9:58,5/1/2019,RETAIL,18,BOMT1,389350,830393,BP1591,ODA_1_1,1,NP
1001449318,5/1/2019 9:34,5/1/2019,R L JAIN EQUIPMENTS PVT LTD,1950,JAIT1,127040,830414,BP1220,ODA_1_1,1,NP
1002976490,5/1/2019 11:21,5/1/2019,Shrinath Mankhal,519,HYDT1,493661,830416,BP1089,ODA_1_1,1,NP
8000749691,5/1/2019 9:33,5/1/2019,NETWORK BULLS TECHNOLOGIES PVT LTD,20,DELT1,476224,830418,BP1256,ODA_3_7,3,DNP
8000654910,5/1/2019 9:35,5/1/2019,RETAIL,112,DELT1,731101,830429,BP1320,ODA_3_5,3,DNP
2000520953,5/1/2019 9:39,5/1/2019,Workstore Limited,41,PNQT1,413133,830440,BP1495,ODA_1_2,1,NP
1003060152,5/1/2019 9:56,5/1/2019,Sun Pharmaceutical Industries Ltd.,25,BOMT1,210001,830447,BP1545,ODA_4_5,4,DNP
1003372866,5/1/2019 9:56,5/1/2019,ITC LTD-KOLKATA,93,DELT1,210001,830447,BP1545,ODA_4_5,4,DNP
1003060757,5/1/2019 9:56,5/1/2019,Sun Pharmaceutical Industries Ltd.,40,BOMT1,210001,830447,BP1545,ODA_4_5,4,DNP
2000852606,5/1/2019 18:53,5/1/2019,Xseed Education,1698,BLRT1,518134,830452,BP1273,ODA_3_5,3,DNP
6000003424,5/1/2019 18:55,5/1/2019,Hilti India Private Ltd,100.8,HYDT1,518124,830454,BP1273,ODA_3_5,3,DNP
1003319706,5/1/2019 10:08,5/1/2019,C&S ELECTRIC LTD,22,NOIT1,396445,830475,BP1146,ODA_1_1,1,NP
1003044480,5/1/2019 10:08,5/1/2019,Brightstar Telecommunications India Limited-ST,17,MAAT2,396424,830475,BP1146,ODA_1_1,1,NP
1003370726,5/1/2019 10:08,5/1/2019,C&S ELECTRIC LTD,7,NOIT1,396445,830475,BP1146,ODA_1_1,1,NP
1003044496,5/1/2019 10:08,5/1/2019,Brightstar Telecommunications India Limited-ST,14,MAAT2,396424,830475,BP1146,ODA_1_1,1,NP
8000381810,5/1/2019 9:55,5/1/2019,RETAIL,30,BLRT1,577112,830480,BP1231,ODA_3_5,3,DNP
1003378347,5/1/2019 10:07,5/1/2019,ETHICS INNOVATIONS PVT. LTD.,200,DELT1,394160,830484,BP1146,ODA_2_2,2,NP
1003116471,5/1/2019 11:40,5/1/2019,ETHICS INNOVATIONS PVT. LTD.,29,DELT1,686577,830485,BP1613,ODA_1_1,1,NP
1002900343,5/1/2019 11:40,5/1/2019,Reliance Retail Limited (Projects),506,BOMT1,686575,830485,BP1613,ODA_1_1,1,NP
8000723922,5/1/2019 11:40,5/1/2019,TCNS CLOTHING COMPANY  LIMITED,8,DELT1,690548,830490,BP1613,ODA_2_4,2,NP
1003060821,5/1/2019 11:40,5/1/2019,Sun Pharmaceutical Industries Ltd.,9,BOMT1,690548,830490,BP1613,ODA_2_4,2,NP
1003060301,5/1/2019 11:40,5/1/2019,Sun Pharmaceutical Industries Ltd.,17,BOMT1,690548,830490,BP1613,ODA_2_4,2,NP
1003053627,5/1/2019 11:40,5/1/2019,TCNS CLOTHING COMPANY  LIMITED,9,DELT1,690548,830490,BP1613,ODA_2_4,2,NP
1003060748,5/1/2019 11:40,5/1/2019,Sun Pharmaceutical Industries Ltd.,49,BOMT1,685585,830490,BP1613,ODA_2_4,2,NP
2000767390,5/1/2019 11:40,5/1/2019,RETAIL,50,BLRT1,690548,830490,BP1613,ODA_2_4,2,NP
2000797707,5/1/2019 11:40,5/1/2019,Sun Pharmaceutical Industries Ltd.,3,BOMT1,690548,830490,BP1613,ODA_2_4,2,NP
1003174079,5/1/2019 10:07,5/1/2019,Lapp India,326,IDRT1,457226,830497,BP1508,ODA_1_1,1,NP
2000816259,5/1/2019 10:02,5/1/2019,RETAIL,45,NOIT1,515134,830500,BP1637,ODA_2_2,2,NP
8000799872,5/1/2019 10:02,5/1/2019,RETAIL,10,LKOT1,515671,830500,BP1637,ODA_1_1,1,NP
8000781849,5/1/2019 10:05,5/1/2019,RETAIL,45,JAIT1,515661,830506,BP1637,ODA_1_1,1,NP
8000741728,5/1/2019 10:27,5/1/2019,RETAIL,100,JAIT1,176208,830510,BP1225,ODA_4_5,4,DNP
8000744703,5/1/2019 10:27,5/1/2019,RETAIL,52,BOMT2,176001,830510,BP1225,ODA_4_5,4,DNP
1003160671,5/1/2019 10:27,5/1/2019,GABRIEL INDIA LTD AFTERMARKET,40,DELT1,176209,830510,BP1225,ODA_4_5,4,DNP
2000834786,5/1/2019 10:27,5/1/2019,RETAIL,3,DELT1,176001,830510,BP1225,ODA_4_5,4,DNP
1003156844,5/1/2019 10:27,5/1/2019,PRISM JOHNSON LIMITED,43,AMBT1,176057,830510,BP1225,ODA_4_5,4,DNP
2000839947,5/1/2019 10:27,5/1/2019,RETAIL,450,DELT1,176209,830510,BP1225,ODA_4_5,4,DNP
8000632789,5/1/2019 10:27,5/1/2019,RETAIL,13,DELT1,176001,830510,BP1225,ODA_4_5,4,DNP
2000834889,5/1/2019 10:27,5/1/2019,RETAIL,4,DELT1,176001,830510,BP1225,ODA_4_5,4,DNP
1003130760,5/1/2019 21:09,5/1/2019,K-International North,60,NOIT1,757001,830514,BP1584,ODA_2_2,2,NP
1003148991,5/1/2019 21:09,5/1/2019,Collateral Medical Pvt. Ltd.,4,BOMT1,757001,830514,BP1584,ODA_2_2,2,NP
1003148989,5/1/2019 21:09,5/1/2019,Collateral Medical Pvt. Ltd.,4,BOMT1,757001,830514,BP1584,ODA_2_2,2,NP
8000401660,5/1/2019 10:10,5/1/2019,RETAIL,12,DELT1,491441,830516,BP1253,ODA_1_1,1,NP
1003306521,5/1/2019 11:36,5/1/2019,Tuareg Marketing Pvt Ltd,33,JAIT1,132103,830523,BP1199,ODA_1_1,1,NP
6000431893,5/1/2019 11:36,5/1/2019,Hilti India Private Ltd,4.22,DELT1,132040,830523,BP1199,ODA_1_1,1,NP
1003040923,5/1/2019 11:36,5/1/2019,(NORTH) NIPPON EXPRESS (INDIA)PVT LTD ,59,DELT1,132039,830523,BP1199,ODA_1_1,1,NP
8000731354,5/1/2019 10:31,5/1/2019,RETAIL,61,DELT1,124022,830528,BP1009,ODA_1_1,1,NP
1003315795,5/1/2019 10:23,5/1/2019,TOYOTA MATERIAL HANDLING INDIA PVT. LTD. ,2,BLRT1,524410,830533,BP1310,ODA_2_2,2,NP
1002827256,5/1/2019 10:34,5/1/2019,Cona Industries,105,BOMT2,249201,830535,BP1053,ODA_1_1,1,NP
1002901116,5/1/2019 10:34,5/1/2019,New JMN Roadlink,38,AMDT1,249204,830535,BP1053,ODA_1_1,1,NP
1002916371,5/1/2019 10:34,5/1/2019,Cona Industries,275,BOMT2,249201,830535,BP1053,ODA_1_1,1,NP
1001143730,5/1/2019 10:34,5/1/2019,Cona Industries,250,BOMT2,249201,830535,BP1053,ODA_1_1,1,NP
